LABEL	preprocessing_A
FAVOR	ver violencia independentista fiscal juez europa mundo violencia poner policia guardia civil agredir posibilidad gente pacificar
AGAINST	catalunya artista representar ser monserrat josep carrera serrat catalunya politicos xavi domenech trasfugas quedar
AGAINST	mosso manifestante republica suspender cambiar colaborar referendum ilegal saltarse ley apluden algo funcionar sociedad listar
AGAINST	llamar tonto sera mensaje encubrir puigdemont
FAVOR	catalán aceptar mediador congreso vestir labor golpista golpista juez merecer juez
NEUTRAL	devo unica pessoa curti blocos
FAVOR	@sanchezcastejon proposa referendum votar estatut dautonomia apoyar autogobierno autodeterminacion petar tribunal constitucional
AGAINST	imaginar ines arrimar traer volver fuigdemontmolido palosy españa agarrandolo solapar suelto comisaria policia
NEUTRAL	tomar referenciar rafa nadal #detectiuconanxl
AGAINST	#guardiasciviles #áfrica nuestro labor reconocer internacionalmente #nuestrapatria discriminar sueldo retribución policias autonomicas #equiparacionya #igualdad #justicia
FAVOR	comparar politicos enjuiciar catalán tipicos politicos español ocurrir manjar preparar hnos roca bandeja cagajón burro baturro
FAVOR	seguir esperar liberacion rehén estar secuestrar lledoners puig basses denric #freetothom #llibertatpresospolitics
FAVOR	espantar #arrimadas tras renunciar investidura ganador autonomicas plantear dejar escaño saltar #congreso informar
AGAINST	hablar protagonista politica incorporar listo congreso diputar acompañar compañero #lnarrimadas
AGAINST	creer pedro sanchez master universo #eleccionesvotoderechas
FAVOR	seguir esperar liberacion rehén estar secuestrar lledoners puig basses denric #freetothom #llibertatpresospolitics
FAVOR	colgar balcon pancarta apoyar preso #terrassa
FAVOR	puro paja hacer nada defender democracia estar miembro
FAVOR	encuestar mitad español apoyar dialogar independentista
NEUTRAL	serio presidente tsjlegitimo #vamosbien
NEUTRAL	legislatura ley historia #congreso #elecciones
AGAINST	este verguenza despues preguntar abandonar tanto millón elector nieto desvelar gobierno ofrecio generalidad simular referendum ilegal
FAVOR	decir monguer arrimar waterlo decirle puigdemont republica existir pensar reunirse imaginar puigdemont salir residenciar saludarla imbecil correr esconderse coche
AGAINST	causar plataforma ayudar venezuela apoyar hermano bolivia luchar recuperar democracia libertar #feb #boliviadijono #bolivia #ayudavenezuela #bolivianosenespaña
NEUTRAL	guaido volver caracas arrestar
NEUTRAL	vestir acontecimiento venezuela ciento cubano gritar libertar salir calle palante hermano democratas cuba dejar pasar oportunidad
NEUTRAL	certas coisas deus preciso saber
FAVOR	nieto forzar eficaz cerrar colegio #juicioproces
FAVOR	enviar efectivosforzarlos actuary retirarlos mitad accion poder posteriori aplicar invalidar votación lectura policias soportar odiar actor politicos todo recibir reditos bingo
NEUTRAL	rebekah mikaelson tomar curar familia desear
AGAINST	nada mandar juez misionar liberar golpista para seguir juicio gastar inutil
NEUTRAL	queria assim pessoa gosto
AGAINST	pues catalanno independentista sentir verguenza juicio preso golpista noto vivir puto idear vivir contrario independencia votante podemospartidoverdad
FAVOR	ministro reconocer presidente advenedizo venezuela asegurar preso politicos proces juicio justar
AGAINST	esbirro jordi pujol gabriel rufian pablo iglesias investigar actividad familia real encubrir robo independentismo cataluña
FAVOR	aunque contrasentido politicos ciudadano politica espectaculos performance hacer actor actriz enfadar irritar idear politica positivo venir vida publicar jugar contra
AGAINST	cobos preso dormiran trapero fatal tras serio necesario vigilarle escapar brusela
NEUTRAL	albiach cerrar fila independentismo excepcionalidad causar proces deberia caer caro verguenza democrata
FAVOR	demolicion democracia esperar oscar frase falso sobreactuada incongruencia frase delatar gente continuo desesperar justamente politicas neoliberal ppsoeciu poder menudo lumbrera
NEUTRAL	trump alertar militar venezuela perderan apoyar maduro
FAVOR	mentir politicos mentir medio comunicacion porque ciudadano mentir encuestar ver volver sillon moncloa sanchez dudar volver gobernar separata
FAVOR	#perezdeloscobos dejar policia estatal bordar abismar invocar instrucción ilegal fiscalia venir reconocer desproporcion desobediente frente tsjc pero caber exonerar gobierno palo #oct #judicifarsa
AGAINST	poder pedir quitar subvencionar pedir quitarsela partido politicos dedicar dinero
AGAINST	formar evidente claro obvio vias democraticas parlamento inventar figurar comprar relatar independentista nacionalismo totalitario sillón
FAVOR	version cobos desmintio juez comisario zoido nombrar jefe mossos
FAVOR	maldito hemeroteca aqui dejar video rajoy exije zapatero convocar referendum catalunya dentro video
AGAINST	cansar pensamiento unico decir mujer deber hacer deber pensar deber odiar partido atrever postrarse becerro ideologia generar hora #siguemeytesigovox
FAVOR	zasca presidente frances doblar lenguaje utilizar derecho votar reconocer venezolano catalán celebrar referendum
FAVOR	ayer partido independentista catalán priorizar nacionalismo frente blindaje derecho social psoe volver demostrar escaso voluntad lograr apoyo necesario limitar gobierno diputar evidente
AGAINST	dinero para comprar urna embajada abrir web propaganda medio comunicacion cargo administrativo empresa auditorio mechandising base dato robar saltarse pisar derecho medio poblacionpresos politicos
FAVOR	alguien creer videos encapuchar anciano abrazar niño barrera humano colegio electoral octubre tendria cadena television español juicio
AGAINST	penar todo pensamiento politicos aceptable llevar extremo caso rojo
AGAINST	santo cruz tenerife salir lunes febrero manifestacion #pensionesdignas #gobiernequiengobierne
NEUTRAL	numerar interior sostener mossos ineficaz frenar octubre
FAVOR	video antonio maestrear dar repasar golpista antidemocrata oposicion venezolano difundir
AGAINST	asesinar miserable compararlo nelson mandela crimen libertar democracia igualdad luchar ejemplo nacer asesinar cargarse sociedad catalán ejemplo
AGAINST	hilar encontrar comentario propuesta torrar lamentable sellar institucion constitucional documentar provocacion humillacion catalán constitucionalista conjuntar español
AGAINST	parlamentar europeo pedir presidente ortega liberar preso politicos cesar represion permitir retornar organización internacional nicaragua carta respectar
AGAINST	#salvadosmaduro aqui ver millón motivo error comunidad occidental internacional capitaneoliberal intervenir soberania democracia venezuela
AGAINST	todo tramar traicionde pelicula recomer lectura articular gigante aleman traicionar españa pactar ocultar tsystems puigdemont
NEUTRAL	ejercitar venezolano bloquear entrar ayudar humanitario colombia
AGAINST	atento testimoniar supremo mañana fiscalia aqui reunion representante gobierno catalan informar referendum celebrar caso necesariamente mossos cumplir
AGAINST	pues ordenar mantener orden delincuente pagar destrozar acabaria historia
AGAINST	directo trapote excomisario jefe policia nacional catalunya colegio gente perfectamente organizar #juicio #proces
FAVOR	ciego izquierdista pacotilla juzgar democracia españa llorais dinero
AGAINST	aceptar mediacion internacional reconocimiento facto independencia cataluña traicion absoluto pedro sanchez españa constitucion golpista separatista aplicarles codigo penal
FAVOR	gustaria albert rivera ciudadano dependencia oportunismo demostrar hechosactos palabreria mañana olvidar persona empatia caro galeria mayoria politicos
AGAINST	video gato huir raton porque recordar infamar gobierno huir golpista caralano vasco porque sera
AGAINST	increible maria sevilla superasesora poder proteccion infancia buscar capturar secuestrar hijo soler anti democratas saltarse este sacar votar #eleccionesvotoderechas
FAVOR	cayo vender ojo penar año alla amigo bilbao año acusar terrorismo delito informatico levar hackear libertar peso politicos
AGAINST	jamar vida vestir entrevistar preparar presidente gobierno tambien racha llevar seguir peor presidente gobierno democracia especialmente sinverguenza
AGAINST	durar rajoy aceptar acordar politico defendiamos temia separatista
AGAINST	juicio fiscal moreno acreditar delito malversacion preguntar turull considerar cerebro logistico referendum ilegal partida dinero publicar destinar causar separatista
FAVOR	ganar deber joder llegar punto objetivar pasar vejación momento debilidad entender #grandecuixart #judicio #judicialademocracia #joacuso
AGAINST	otro jugar maestro sacarse hilo amarillo boca este puigdemont permitir comision europeo
FAVOR	graciasamigosabes alma llorar estupiez humanayo humano estupido quitaria odiar abusar imposicion embudoel nacionalismo español practicar embudoy enterar
NEUTRAL	indepes seguir luchar querer constitucionalista abandonar frente dejar solo #graciasines
FAVOR	#omplimstjaume pero guerra hablar medio siempre independentista independentista catalunya unica guerra fcse fascismo representar llamar brigada limpieza independentista
AGAINST	ooh bloquear imaginar frustracion golpista poderle boton block fiscal chistorra poder bloquear alsina empezo dejarle evidenciar ayyy realidad duro
FAVOR	agente horda gente violento hablar catalan lanzar espadar flechar quemar edificio describir agente claro verde antena cabeza trompeta nariz escamar #judicitvcatradio
AGAINST	prescindible declaración solo leer articulos declararia #juicioproces #oct supremo descartar rahola testigo
AGAINST	diselo tribunal supremo juicio como abogar poder mentir servir golpista prisión
NEUTRAL	militante decidir referendum gobierno seguir adelantar
NEUTRAL	haciendote dificil yyo keriendo comerte toar
AGAINST	pactar bilduetarras comunista separatista podremitasmuy progresista señor
AGAINST	pedro sanchez presidente democracia publicar libro mandato manual resistencia resolver pension llevar listo esperar sanidad publicar dedicar sanchez tiempo
AGAINST	ciudadano catalan defender ejemplo volver unirse españa resultaria evidente contaminar consiguiente quedaria privar ciudadania catalán derecho politicos
AGAINST	#ampliacion junquera insistir referendum costo euro contribuyente
AGAINST	vivo españa amador junquera adelantar carme forcadell
NEUTRAL	jorge prohibir cablero transmitir concertar frontero sintoma tipico negacion recordar primitivo mecanismo defensa frecuentar personalidad debiles inestable inutil jorge tapar dedo
FAVOR	declarar sebastian trapote jefe policia español catalunya comenzar preguntar fiscal consolar madrigal #juicioproces
AGAINST	totalmente acordar salvar defender mias defender inmenso mayoria español caber vago perroflautas golpista traidor terrorista
FAVOR	sesion #judicidelavergonya fiscal hinchar repetir palabra constitucion suponer referir psoe llevar incumplir empezar estar bienestar impuesto progresivo aconfesionalidad
NEUTRAL	directo turull cascar sentenciar constitucional incumplir gobierno español este constitucionalista chollo permitir acatar sentenciar independentista perder #juicio #proces
FAVOR	definitivo indepes botella fairy malo polis uniformar porra pelota goma acabar antes
NEUTRAL	portavoz parlamentario rubalcaba criticar procesar independentista
AGAINST	cataluña escribir indepe
FAVOR	#liarlapardo évole entrevistar intelectual indepes gente apalear indepes grupusculo mayoria parlament repetir dictar entrevistar tirano
AGAINST	puigdemont problema junquera adelantar candidato elección europeo
AGAINST	odon elorza acusar vincular escandalo pederastia cuando cesar psoe #yonovoym #nohablesenminombre #fuerachiringuitosdegenero votar masivamente #españaviva #vox #voxavanza
FAVOR	montaje indepes estelado hablar castellano
FAVOR	para echar basura poner basura votar abril #lapatriasonpersonas
FAVOR	ser antifascista izquierdo independentista querer independencia votar partido pdcat crida pues señor politicos apartar sillón sumir fuerza
FAVOR	solucion españa problema derecho meter negar derecho perseguir querer ejercer derecho politicos aplicarse celar censurar saber utilizar resorte poder poder ejercerlos
FAVOR	ninguno mossos desquadra contrario constitucion cosa compromiso politico competencia ejercia #juicioproces
NEUTRAL	nego acha otario pegar visão
FAVOR	cada deberian sentar banquillo acusar famoso recoger firmar estatut ellos atentar constitucion defender pero claro catalán poder #joacuso
FAVOR	#juicioproces romeva confesar separatista tumbar estatut añadir referenciar #vox banquillo defender valorar democraticos amenazar estrado
NEUTRAL	necesitar presidente respetar derecho trabajador luchador mujer trabajar cesar usurpacion gobierno transicion elección libre junto luchar reivindicacion derecho trabajador
NEUTRAL	llevar colombia
NEUTRAL	entrevistar estadão bolsonaro defendeu construção campo refugiar venezuelanos chegam brasil temos problema demais aqui depois passou amar tanto venezuelanos quer entrar ajudalos balar
AGAINST	puigdemont ofrecer arrimar entrevistar cordial waterlo ciudadano rechazar
FAVOR	todo jueves grupo persona ideologias izquierdo llamamiento union izquierdo derrotar fascismo unir nosotr@s #myotambiensoyfeminista #alaizquierdavota #votaresdecisivo
FAVOR	wanted politicos buscar confrontacion odiar olvidar voto mirar beneficiar tod@s dejar crispacion querer vivir tranquilo querer politicos bombero incendiario #felizdomingo #gritaraltoyfuerte #felizfinde
NEUTRAL	sanchez equiparar independentismo derecho vivir conflicto presidente recuperar ataque pdecat fracasar presupuesto
FAVOR	colon casado rivera constitucionalista devolver robar quebrar juzgar culpable constitucionalista ciudadano dejar populismo demagogia retirar apoyar apandadores
FAVOR	poder decepcionar confluencia estais descomposicion llegar solo cataluña pais vasco galicia nacionalista sumar voto confluencia pasar nacionalismo unir
AGAINST	puigdemont gustaria dejar politica volver normalidad
FAVOR	dictador socialista hacer recurrir chantaje patrimonio nacional congelar partida euro destinar abadia vallar caidos #eleccionesvotoderechas #abril
AGAINST	tras año cotizar español marginar vivir palo agua viejo partido solucionar️ #voxsaleaganar #siguemeytesigovox
FAVOR	agotar modelar sociata bipartista jeta agotamiento modelar constitucional disimular pactar golpista trilero ellos vivo
NEUTRAL	artigar apresentou mestre direito publicar nenhum registrar dele alunar ministro chamou fake news texto explicou onde saiu titular
AGAINST	decir alfonso guerra miserable traidor puigdemont antonio perez secretario felipe escapar justicia pasar restar vida desacreditar españa extranjero nunca regresar murio inglaterra creer
FAVOR	tenia pactar president puigdemont serio investir mirar estamosesperando permiso santo inquisicion
FAVOR	escribir carta #presospolitics senado ️la envie llegar estremera llegar al gobierno constar achacar error informatico #preguntasparlamentarias
AGAINST	difamar fake news tipico indepes fuente probar decir intentar desviar atencion parroquia vapulear llevar colar
FAVOR	#relatorarv cosa imagenes mani españolista venir mil ser poneis indepes producir diada
FAVOR	señor fiscal catalan socio racc penya blaugrana agrupacio fotografica concentrar semana exigir libertar preso llevar lazar amarillo octubre votar referendum defendi urna cuando querer procesar
AGAINST	este decia pedro sanchez presidente mediacion proponian independentista momento cuanto cambiar dormir moncloa
AGAINST	gracia invitarme vision independentismo nacionalismo honor ponente distinguir auditorio
FAVOR	turull tambien constitucion servicio militar obligatorio cambiar #oletu #judicitvcatradio #judiciproces #judicio
FAVOR	trabajador social psicologas investigar ideologia señor ideologia defensa derecho humano mejorar calidad vida persona #apuntaminombrevox
AGAINST	pasar bola rien gracia acabar chollo presunto golpista caer pulpo manifestar pagandoselo bolsillo harto
FAVOR	entenderia #abril izquierdo ver pasar andalucia quedar casa igualar quedo esperanzar capaz permitirlo #alaizquierdavota
AGAINST	bueno españa #siguemeytesigovox #voxsaleaganar #voxextremanecesidad cumpliran echar sanchez moncloa fallar alguno
FAVOR	del haber policias herir atender policias herir atender nomes calar segons mostrar mentides govern espanyol doctubre caient totes mentides #thisisthespanishdemocracy
AGAINST	directo forn fiscal ningun acto mossos contrario constitucion septiembre octubre
NEUTRAL	antena confirmar señal sacar aire venezuela concertar
AGAINST	articular real decretoley regular derecho holgar ilegal huelga iniciar sostener motivo politicos finalidad ajeno interes profesional trabajador afectar
AGAINST	para renacimiento europeo pactar nacionalista separatista populista derecho izquierdasque querer destruir europeo valorar constitucion partido europeo constitucionalista olvidarlo
AGAINST	último hora justar desarrollar motin direccion general contrainteligencia militar dgcim preso politicos amenazar holgar hambre noticiar desarrollar
FAVOR	golpista perez cobos declaracion dedicar dejar insidiar acusación velar trapero escoger bando menos mayoria progre español claro estan exento decencia
NEUTRAL	equilibrio juez turull admitir declaracion independencia politica romeva declarar preso politico hombre junquera responder acusación
FAVOR	auge ultraderecha deber mucho comunista cuando indepes lazo amarillo decir nada
AGAINST	decepcionante antena indecente guiñar independentismo informativo antena hundir atresmedia periodista digital
FAVOR	enric millo demostrar memoria impresionante compañero partido gobierno esperar perder preguntar defensa #judicitvcatradio #judicialademocracia
AGAINST	estrenar green bok pelicula protagonizar viggo mortensen actor sueco vivir madrid independentista parejo independentista actriz ariadna verla ir independentista
AGAINST	politicos actual psoe altura rubalcabafelipe gonzalezalfonso guerrajl corcueraetc psoe
AGAINST	dejar partido votante aceptar persona mediador caer circo poner dudar soberania españa integridad dedicais jugar constitucion poder
NEUTRAL	nunca ver você jogar ver você marcar gols emiliano nosso belo bluebird amarar sempre
FAVOR	humor ironizar papar ironizar preso ironizar desinfección puebloborrell dixit ironizar muerte vida perfectamente ironizar reir institucion real
FAVOR	#francia envio torturador #catalunya regimen español catalunya gobierno español envia refuerzo policial prevision manifestación #independentistas hilar noticiar
FAVOR	carolpecha leccion periodismo cfranganillo entrevistar #sanchezenve repreguntado necesario dejar temer cosa poquito tipo entrevistar necesario preelectoral agresividad
FAVOR	defraudador fiscal ladrón publicar golpista terrorista defensor compraventa
AGAINST	facil tarea vacilar tribunal permitir chuleria acusar abogar defensa tomar noto exigir permisividad defendido politicos separatista
AGAINST	pedro españa españa unir poner riesgo cesión independentismo relator
AGAINST	cada acercar posibilidad mesa pedro sanchez ipad facetime puigdemont yoko pequeño nicolas torrar rufian fijaos maravillar acuerdo amalgamar
AGAINST	#laespañaquequieres derecho vivienda trabajar nivel vida dignar quitar libertad derecho ganar todo retroceder avanzar
NEUTRAL	bueno dias holgar independentista tomar callar lograr parar economia
AGAINST	acordar politicos cobrar pensionar condicionar restar ciudadano mejorar todo pensionar adelantar electoral dinamitar acuerdo pactar toledo blindar pensionar
NEUTRAL	fraco presentar novar menino
NEUTRAL	follet pronunciar independencia catalunya
FAVOR	jose antonio nieto declarar mision impedir imagenes celebracion referendum calificar delito anticorrupcion sospechar chivatazo #cloacasdeinterior gonzalez evitar imagenes corrupcion partidopopular delito
FAVOR	casado desacreditar promesa ciudadano pactar psoe #eleccionesgenerales
AGAINST	voxero estrategia izquierdo desviar votar dcha meter sacar caer mismo meter encuestitas twiteras mismo sacar valer solo #españaviva #eleccionesabril #eleccionesgenerales
FAVOR	caverna mostrar desolar formar declaracion vicepresident oriol junquera conseller joaquim forn #juicioproces
AGAINST	mover gobierno amotinar organizar decir masa imposible pararlo gobierno nacional cometer irracionalidad organizar enviar ciudadano constitucionalista impedir referendum ilegal
AGAINST	arrimar criticar pedro sanchez cataluña
AGAINST	generalitat eludir responsabilidad independentista presupuesto insistir criticar pedro sanchez
AGAINST	repercusion etiquetar #siguemeytesigovox #twitteresdederechas increible respirar aire social reactivar mes gracia impulsor tuiteros compañero volver luchar vivo españa
FAVOR	aprobar presidente senado decir pablo casado prometerlo contar camara aprobar master carrera
AGAINST	realidad querian votaramos ocupar indepes malo catalán vulgar fachaspara todo farsa legitimar objetivar real unilateralidad
AGAINST	felix azua extremo derecho españa separatista catalán
FAVOR	haura referendum pactat haura dialeg haura respetar legalidad constitucional dar vivo florentino botina millón diario robar catalino
AGAINST	mania entender utilizar asesinato secuestrar inocente armar politica vulnerar constitucion declarar unilateralmente independencia predicar comunismo mansion #objetivoelecciones #felizlunes
AGAINST	gracia voto psoe socio congreso rechazar penalizar referendum ilegal
AGAINST	decir perro problema vestir deber mental gente normal gente organizar impedir policia judicial mandato judicial violencia independencia violencia producir forzar
AGAINST	falto sumar cobrar aparición preguntar frequens cataluña radiar ganar presidente gobierno como independentista #siguemeytesigovox
AGAINST	uno separata manifestar madrid favor liderar preso normalidad nadie incordiar constitucionalista cataluña deberian protegido mossos horda intentaria lincharlos pero fascista nosotros
FAVOR	citar ciudadanoscs habilitar contenedor reciclaje politicos partidopopular formar campaña dale corrupto vida politica hajaja morir risa jaja
FAVOR	#opinion #juicioproces todo indicar abogar acusar presentar argumento juridicos incuestionable sentenciar dictar parecer justicia venganza jose antonio gomez opinar
AGAINST	pedro sanchez puigdemont junquera españa charlatán acabar fugar carce
AGAINST	hasta universidad escuela òmnium padre independentista cria superdotado brillante pensamiento criticar personalidad arrollador ingrediente programa pujol fracasar
FAVOR	manuel valls comparar independencia cataluña brexit paginar guardian
AGAINST	gran expectacion medio informativo cubrir declaración salir intervencion europarlamento #voxavanza
NEUTRAL	base avalar pactar caro
AGAINST	tener activo #vox castigar medio dominar izmierda golpista progresía elección ataque brutal #voxavanza #voxextremanecesidad #voxútil #voxentodaespana
AGAINST	catalán independentista amar tierra olvidar habitante amar habitante memez tonteria respetar
FAVOR	movimiento politicos desde base sector institucionalizar dividir combatir injusticia perpetuan
AGAINST	mossos apalear decena vez llorar dar palmar oreja dejar victimizaros servir tapar mentira politicos mentir seguir mentir caro ser zombi
AGAINST	presion independentista paso facturar funcionario catalán
AGAINST	solucion acabar niño riesgo desnutricion politicos izquierdo comer compartir alimento
NEUTRAL	acima tudo rubronegro amor maior igual
AGAINST	psoe españa españa ciencia educacion publicar dependencia servicio social españa derecho acepto retroceso españa ecologista españa global solidario europeista #laespañaquequieres
FAVOR	este escoriar juez antidemocratico tercermundista poder emanar monarquia corrupto impune juzgar oriol junquera unico politico honestar aberracion #joacuso #yovoyconlarepublica #fakesuprem #murallahumana
FAVOR	pablo iglesias octubre rebelion tuit violencia gobierno español
FAVOR	balear comprar lenguaje indepe tener problema alli
AGAINST	obligar mastuerzas leer constitucion conoceran poder acceder cargo exigir conocimeintos cargar publicar ignorante posible
AGAINST	seguir seguir españa unir ir reventar urna papeleta #siguemeytesigovox like retuitean #españaviva
AGAINST	#endirecto supremo plantear detener #juicioalproces convocar elección españa
AGAINST	#juicioproces este jordi turull mentiroso jefe puigdemont riendose advertencia
AGAINST	#juiciodelproces echar testimonio profundidad intelectual podian aportar cri gallifantes bernat berlustinho castrar talegon simpatico terrorista desmerecer criminoso anterior yonatan martinez
FAVOR	politicos consejo administracion codere
NEUTRAL	simon bolivar mirall trencat chavisme nicolas maduro
FAVOR	entonces democracia antifascismo soler puro sentimiento identitario
AGAINST	bipartidismo #ppsoe año apoyandose nacionalismo pactar evitar explicación corrupcion cambiar dinamica gobierno reformista
FAVOR	informativo cadena concretar vivir preso politicos manipulador mentiroso rechazar gente natural recibir insulto extrañar insultar catalunya
AGAINST	temer central independencia cataluña conseguir arreglar problema incluir niño cole desayunar
FAVOR	pensar joder indepes montar botifarrada verdad pues betemenita traia pimienta mostaza condimento ideal botifarra fondo hacian integrarse coño #judicitvcatradio
FAVOR	atención frente gestion sostenible eficaz agua proponer arrojar poder proponer abascal como franco pedir trasvase preso apoyar añadir mercantilización agua apoyar ambos propuesta #lapatriasonpersonas
AGAINST	blanqueador dictadura nosotros papar zapatero poder democracia volver venezuela ellos listo servir recordar nombre
FAVOR	ser consciente preso politicos encarcelar juzgar españa #catalunya derecho votar #autodeterminacionoésdelicte #juicioproces jordi turull llevar prision #llibertatpresospolitics #felizmartes
AGAINST	conocer hombre apoyar separatista fidel castrar pasar historia figurar calibrar mahatma gandhi nelson mandela revisionismo historico favor regimen nazi este denunciar watch
FAVOR	perfilar cri perrito reportadora practicar persecucion represion motivar ideologia politica llamar reds rojo izquierdo yellows independentista ésto complices
AGAINST	sabio alsasua terminaria pelear amiguetes feminas defender novio agredir gcla manar violencia intimidacion sonrisasasi razonar izmierda #eleccionesvotoderechas
NEUTRAL	argentino povo lutou impediu ficaram batendo palmar propria miseria bolsominions isso argentino baixaram cabeça muito ficaram hipnotizar
AGAINST	el gravar terrorismo lazi ésto crios indefenso adoctrinamiento salvaje maestro utilizar construir guerra futuro juez politicos proteger
AGAINST	programa castellano mostrar pluralidad politica ideologica social cataluña llamar preso preso politicos puigdemon president exiliat continuo propaganda proces
NEUTRAL	llegar venezuela tomar calle pais jurar luchar libertar venezuela cumplir deber #fayudaylibertad
AGAINST	torrar cataluña torrar separatismo dialogar sanchez govern generalitat ceder independentismo #lnarrimadas #graciasines
NEUTRAL	como queria agora
NEUTRAL	duodecima sesion jucio proces independentista catalunya empezar declaracion comisario policia nacional sebastian trapote
AGAINST	vídeo sabotear manifestante indepes medio comunicacion ambito nacional
NEUTRAL	️️hay vida esperanzar vileza hermano siniestro #vamosbien
AGAINST	torrar cargar eurocamara permitir conferenciar puigdemont verguenza
FAVOR	#lapatriasonpersonas begoña villacis candidato alcaldia madrid ocultar sociedad patrimonial mill€ saltar estatuto partido transparencia votar unir poder poder
AGAINST	mirar bom #judassanchez plantear elección cuestion confianza batero recors creer aprobar indepes querer derecho querer perder mocion peor resultar psoe
NEUTRAL	soraya rodriguez abandonar psoe lacostament sanchez independentistes
AGAINST	este investigar destruiran prueba tren #eleccionesvotoderechas sujeto vincular embajada marroqui intervenir denunciar villarejo juez
FAVOR	presidente turquia recep tayyip erdogan acusar estar unir union europeo desafiar democracia desalojar nicolas maduro mandatario venezuela
FAVOR	#makeamove esten carcel esten abrazar preso exiliar represaliado politicos estar español noche noche #gabon #bonanit #boasnoites #buenasnoches #llibertatpresospolitics
AGAINST	indepes terrorista llegar haberlo ganar urna complicar
AGAINST	marlaska pasar historia acercador preso hollar politica encontrar formar acercar victimar complices familia traidor cobarde
FAVOR	recordar estan independentista tendriamos preguntar candidato esquerra volubilidad cuestion importante
FAVOR	este unico importar cataluña venezuela aqui restar problema parorecortessubida luzles importar casado llamar votante elegir senado aplicacion duro
FAVOR	querer español valiente sueltalo padre año nacer extremadura votar octubre hermano hijo año entonces gustar reventar cabeza votar ser asco persona
AGAINST	espaciar espaciar estrechar confinar catalanismo dudar realidad poner evidenciar caracter limitar ambos politicos evolucionar planteamiento personal habra donde
FAVOR	escuchar millo #juiciodelproces imagenes propaganda cierto pesar desmentir seguir dar vuelta mundo asumir quito antidisturbios habitual repartir basar bien
AGAINST	democracia derecho decidir millón español caso formar marcar legal preso politicos raul macias preso prision antecedente confirmar riesgo fugar club waterlo
AGAINST	estar cansar reformar administrativo crear #tabarnia agotar paciencia estar robar amargar vida vivir bromar bromar tabarnia
NEUTRAL	directo cerrar colegio interlocutorio decia debian cerrar actividad referendum decir
AGAINST	desnazificar nacionalismo vasco navarro
AGAINST	verguenza linchamiento mosso decir republica existir idiota
FAVOR	puigdemont junquera asistir discursar grandeza politica
FAVOR	preguntar actualidad politica medir tomar llegar poder responder preguntar paso basar candidatura cazar cero aborto carcel independentista
FAVOR	alguien deberia querellarse acusacion particular politicos cometer perjurio
AGAINST	ir deberias informarte nacionalista izquierdo catalán vasco gallego rechazar presentar europeo independentista andaluz supremacismo xenofobia saber todo germanor dels pobles oprimits
AGAINST	este domingo marzo acto publicar #pormadridparaespaña presidente madrid comite ejecutivo nacional hotel princesa crta salir mostoles centro #voxsaleaganar #nohablesenminombre #españaviva
AGAINST	mucho animar violento unica razon quedo forzar democracia justicia derrotar #boubcn #nngg
AGAINST	como cantaria leonard cohen aleluya aleluya reconocer declaracion independencia fake
NEUTRAL	chega naquela pessoa fala
FAVOR	represion referendum catalan provocar herir poblacion civil olvidar perdon
AGAINST	dinero publicar servir poblacion partido politicos integrante partido recibir dinero estar campaña tanto necesidad poblar insultar
FAVOR	medio regimen como mayoria gente poder acabar caer todosla gente auto engañar como tramar tramposay cabreenpueden contrario pretender acabar republica españa
FAVOR	semana juicio proces bautizar semana testigo politicos marchena intentar perfil politico declarar principiar abrir hilar resumir valoracion
AGAINST	defender respetar carecer independentista motivar insultar republicano entender problema
AGAINST	#enricmillo #juicioproces aunque sacar aqui acosar periodista hilario pino quitar microfono directo
FAVOR	creer especie tiritar ayudar diagnosticar fibrosis quistica #españa
FAVOR	dato frente propagandacorte cortar fecho lugar bloqueo carretero largo catalunya producir vigor mossos controlar ministerio interior
FAVOR	emosido engañar catalán oveja turull independentista idiota sanchez para #bubonculpable español oveja idiota demostrar acto vida discursar reiterar español franco morir vivis engañar
NEUTRAL	dar ejemplo reflexion nacho venezuela live
AGAINST	cierto partido politicos confundir gobierno partido politico ahora llenar inepto incompetente actual callar corrupcion #eres #lasilenciosacat #avotacambio
FAVOR	este unionista cagarla este lanzamiento muralla humano pavo borell
AGAINST	mediador internacional prestigiar ningunean independentismo secesionista interes internacionalizar problema problema dimension internacional cataluña irlanda norte palestino
FAVOR	arrimar comentar encuestar catalunya
FAVOR	repulsivo video álvaro ojeda dedicar rufian trasladar preso
AGAINST	independentista dejar pasar oportunidad introducir relatar odiar españa pequeño carnaval descansar
AGAINST	pero embajada mantener puigdemont empresa afinar dinero #sinverguenzas #lasilenciosacat #golpistasaprision #tiranianacionalista
AGAINST	tribunal permitir catalan acusar rechazar declaracion puigdemont
AGAINST	luchar recuperar ilusion sonreir gente abrir educar innovador tradicional nacion transformar mundo seguir vanguardia este #españa #vox #españaviva #vivaespaña #siguemeytesigovox
AGAINST	unica realidad vender rendir pie separatismo totalitario catalan despreciar catalán sufrir #tiranianacionalista llamar #genestapo #lasilenciosacat #sanchezdimision #eleccionesya
AGAINST	como puigdemont estadounidense libre resumir desacordar desobedecerla #citasestilopedrosanchez
AGAINST	cada escuchar reafirmar politica jamar españa #lnarrimadas
