LABEL	preprocessing_D
FAVOR	jordisalvia ernesto_sevila govern I ara et sembla q pot ser interessant votar a eleccions ESP pq no guanyi ni un bloc ni l'altre i PSOE hagi de pactar amb els partits plurinacionals? Investir Sánchez i no aprovar res si no es dóna referèndum a canvi. Fer ESP ingovernable pot ser un senyal interessant cara l'UE?
AGAINST	El Parlament de Catalunya acaba de censurar que el Govern hagi volgut simular davant l’opinió pública que havia presentat uns pressupostos a la Cambra. En realitat ni han estat aprovats pel Consell Executiu ni han estat enviats al Parlament.
AGAINST	elsfolchs KRLS Llàstima que es saltessin lleis i que aquest argumentari polític no els hi servirà de res. Algú els hauria d'haver assessorat en quina plaça toregen...
FAVOR	RT Dumacbcn: Regalar-li el relat a l'estat espanyol i deslegitimar el referèndum ja guanyat. No es pot ser més imbècil. farsants 
NEUTRAL	Opacitat, falta d'ètica i de solidaritat, etc... Escandalosa l'era Pasqual (ja era escandalosa l'anterior...). Demostra la deixadesa política de bcnicub, cultura_cat, culturagob i la negligència del patronat d'una de les fundacions més subvencionades del país. dimissionsJA 
FAVOR	RT MonDiari: Borrell: Els independentistes deuen estar contents amb la meva candidatura a les europees 
NEUTRAL	La plantilla de Gallina Blanca va a la vaga indefinida 
FAVOR	Cap democràcia no té presos polítics. La democràcia impedeix que els dissidents siguin empresonats per defensar les seves idees. Per tant, Espanya no és una democràcia plena: té gent pacífica empresonada per voler fer possible la independència de Catalunya.
AGAINST	jrosell KenHaprenguin moragasai Petar-se l'Estatut i la Constitució no és delicte?? Sense de debatre amb mig Parlament aprovar les lleis de desconexió, transitorietat i fundació de la república que és per tu? Repeteixo que perquè TV3 no hagi fet un 30 Minuts no treu li la gravetat. El famós xoc de trens.
FAVOR	BOMBA: Madeleine Albright anticipa la independència de Catalunya  xcatalunya
AGAINST	anna_sjd S'apropa el MWC i ens estan tirant merda per canviar la seu. Ara s'imposen unes setmanes de silenci CÒMPLICE, després farem la campanya internacional de fi ni ti va i arribarà la primavera, que serà catalana o no serà vinegre vinonegro
NEUTRAL	bigbangmdgr Lo de la C. Economia va ser deliberat. Deixar els patrol sense vigilancia igual. Les armes dintre lo mateix. Oberts els cotxes igual. I així tot. I lo bó es que ja arribem al meollo. Tot sortirà. TOT JoAcuso AquestaJusticiaEsUnaFarsa
NEUTRAL	llunarium Farem el que podrem per lluitar per un món més just, que és el que ha fet ella tota la vida! 😍
NEUTRAL	gallifantes Són tan burros que encara no s'han assabentat de que la seva EspañaGlobal o ThisIsTheRealSpain és conseqüència de la imatge patetica que estan donant al món. Espanya és la riota d'Europa i ells sonant la pandereta.
FAVOR	06/09/18 El conseller joseprull és un pres polític, ostatge de l’Estat espanyol a la presó de Lledoners. Fa 199 nits que està tancat sense judici pel fet d’haver obeït el mandat del poble de Catalunya que va sortir de les urnes. LlibertatRull LlibertatPresosPolítics 🎗 
AGAINST	Avui fa 118 anys naixia Emili Miró Fons, membre fundador dels Castellers de Terrassa i president. Allà on siguis, feliç aniversari. Totes les nostres aletes també són teves Avi.
AGAINST	La tertúlia d'avui del totcosta és una meravella Catorceava AllIn
FAVOR	Els intolerants disfressats de monàrquics que només creuen que ha de ser legal votar el que els agrada, anomenen populisme a escoltar el poble. El poble només els interessa per adoctrinar-lo amb l'estètica de la seva classe selecta i l'ètica integrista de la seva secta llibertat
AGAINST	EnricFV1 Misshima18 El Junqueras es un mossen i el Llach una bleda asolejada! Coincidim?
AGAINST	Un llibre perquè aprenguin,un avió per enviar un missatge,i la nostra presència per exigir la República . OmplimSantJaume 29S LibresLliures
AGAINST	jordiPuignero JaumeAlonsoCuev Que ara us trobeu a un judici i no us agraden les veritats a la cara, eh?
AGAINST	miquel2710 XSalaimartin serginock jorditurull Estic esperant per poder parlar amb tots ells a la cara, son innocents, i no mereixen estar a la presó, però, son traïdors del poble català.
AGAINST	Bueno, junqueras no respondrà als Fiscals només a la seva defensa, espero que ho fassi en català.
NEUTRAL	Vinya, ametllers, pineda i espadats de la vall de Vingrau, on s'acaba Catalunya i toca a Occitània. Rosselló. Catalunya Nord. Països Catalans Foto: Dubedat Philippe Vualà 
AGAINST	Ahir començava un gran esdeveniment jurídic i polític, però també un enorme drama familiar d'una família que és, o era, la nostra. El judici és un fracàs de la política i dels polítics 
FAVOR	OmplimSantJaume29s 📣⚠️ Atenció CAP celebració amb la nostra sang! 1Oct 1O 1OctAlCarrer 1Oct 1OctNoOblidem Sant Jaume Barcelona 
FAVOR	Tot el que té a veure amb un govern democràtic independentista se li aplica una justícia pròpia de dictadures. Fins i tot a cossos policials que no depenen del govern. Ho està pagant gent innocent amb presó. L'actuació de la justícia espanyola es mereix algun dia un Nuremberg. 
FAVOR	Guaita Xavier Domènech La crisi que vindrà: de pressupostos i eleccions. Es pressionarà per un govern real de PSOE-Ciudadanos. Es tracta de reconstruir el règim, però sobretot d’assegurar la gestió neoliberal de la possible crisi del 2020  vía ARAopinio
FAVOR	OrganitzemRepública 11 de setembre Acte Polític de LaForja_Jovent i Poble_Lliure Passeig del Born 11.30h LaNostraSentència Independència TossudadamentAlçats SensePor Dempeus 11SOmplimLaDiagonal FemLaRepúblicaCatalana RepúblicaÉsLlibertat elvellblues 
NEUTRAL	En concret, els sindicats han precisat que els tres magatzems el tancament s'ha plantejat estan localitzats a Manises (València), Oviedo (Astúries) i Sant Antoni de Villamajor ( Catalunya ) DIA 
FAVOR	Em preocupa molt, que després de 8 anys de procés, amb gent a la presó, exiliats, després de 2 referèndums que no han servit per res, unes eleccions que no han respectat els resultats, amb un govern autonòmic, etc, etc, hi hagi gent tan innocent encara....
AGAINST	LogosMediaBcn Llàstima que la vàlua d,un servei depengui del seu cost econòmic. No sempre major/menor preu implica major/menor efectivitat.
AGAINST	Casfetera Vist l'allau de suport ... Com pot veure el RaiLopezCalvet, per la caiguda de retuits i m'agrada, no és lo mateix que disposats a venir 
AGAINST	economia Interessant l'article de Guillem López Casasnovas al diariARA, Garicano, quan l'acadèmic passa a la política : 
FAVOR	Vine i fes pinya x Catalunya, x la república, x la llibertat, x la democràcia, x els que vindran, i x els que no volen marxar sense viure-ho. Nosaltres hi serem perquè només entre tots aconseguirem que la lluita esdevingui victòria 
FAVOR	ULTIMAHORA Primera sentència sobre el 155, el Tribunal Suprem avala la legitimitat de Rajoy per dissoldre el Parlament perquè estava complint les funcions de Puigdemont i per tant J×Sí i la CUP els tocarà pagar les despeses. Ho havíem de intentar.😊 
FAVOR	Protestem contra la mani d’extrema dreta a Barcelona aquest diumenge. Prou impunitat! UCFR convoca accions el 7S i 9S: Contra el feixisme, NosaltresSomMés Prou agressions neonazis Per la convivència en la diversitat Difoneu, si us plau!! Més detalls:  
NEUTRAL	RT Hakuba3XL: Fairy, Karatekas als punts de votació, VISCA EL PORRO EH MILLO? 🌿🌿🌿🌿🌿🌿 
FAVOR	🎥 “Em van agafar dels cabells, van estirar amb moltíssima força i ens van tirar a terra”. El testimoni de la Maria Isabel és esfereïdor. Ella també va patir la repressió policial l’1 d’octubre per voler votar elmeu1O 
AGAINST	Com metge del ics, això era evident q no era veritat perquè cap víctima va arribar als caps els dies següents per continuitat de cura de les seves lesions....ara em sembla increible el nivell de manipulació informativa....i encara hi ha gent q creu q va haver-hi 1000 ferits. 
AGAINST	Queda algun jutge de veritat El jutjat de Vitòria condemna el govern espanyol per haver rebentat un acte d’Anna Gabriel 
FAVOR	El judici és la continuació del discurs del Rei del 30 de 2017. En resum: el a por ellos . L’aparell judicial i policial ho van entendre. De fet, cantaven el a por ellos grups de policies nacionals desplaçats a Cat. Després van venir els defensors del 155 i ara són els jutges
FAVOR	Espanya és aquell país on per dir que cal trencar els ous per fer una truita o cagar-se en la Verge t'envien davant del fiscal, però per fer apologia del feixisme o desitjar la mort de catalans mai et passarà res.
AGAINST	miriamnoguerasM QuimTorraiPla Pdemocratacat Poc a poc fins votar sí. 😂😂😂
FAVOR	RT xavichica: ”Sense les iaies, no hi ha revolució”. elmeu10 1O 
FAVOR	Mira q em fan mandrota els polítics presos, aquesta gentola que ha cridat a la desmobilització i que ataquen els interesos de la meva classe, però gaudeixo veient com els presos polítics catalans treuen la rauxa i planten cara als jutges espamongols. Schrödinger JudiciFarsa
FAVOR	Els observadors denuncien que Marchena restringeix els interrogatoris dels testimonis  JuicioProcesAR procesoprocésarv JuicioProcesESP JuicioProces JudiciFARSA JoAcuso ThisIsTheRealSpain JudiciTV3CatRàdio enjakeetb
AGAINST	Moltes gràcies c_cardenas_s per la conversa i pel seu suport a l'alliberament dels presos polítics i per una solució pacífica i dialogada per Catalunya. No oblidem el suport del seu pare, que com a President de Mèxic va acollir i donar suport a milers d'exiliats catalans. 
FAVOR	📃 ernestmaragall obre a SantVicençdelsHorts un acte en què alcaldes i alcaldesses d'Esquerra_ERC refermen el seu compromís amb l'1O: El proper alcalde de Barcelona ha de fer el que calgui per la República. No es tracta de guanyar unes eleccions, sinó de governar el país 
AGAINST	Societatcc SantiVila Jo veig incitació a l,odi... faran algo els mossos o la policia?
FAVOR	📣 L'esclat democràtic de fa gairebé un any no quedarà en res, l'1OctAlCarrer‼️ 🔴 Hem après a ser poble, fem una TardorCalenta. CDRenXarxa RepúblicaCatalanaJa punyetes 
NEUTRAL	La meva família és propietària de diversos negocis. Cada manifestació, cada vaga, afecta al calaix. I voleu saber què opinem?: Féu el favor d'aturar el país indefinidament i declarem i exercim la independència d'una vegada!!
FAVOR	RT salvadorcardus: Rufián adverteix P. Sánchez que si aplica el 155, perdrà Catalunya... Que no és el que busquem, que ens “perdin”? 
AGAINST	Que voleu que us digui, si jo fos President del govern español sanchezcastejon tiraria pel dret i NO CONVOCARIA ELECCIONS. Implementaria partides pressupuestàries extraordinàries per portar a la pràctica les mesures que es propossaven en els pressupostos que la dreta ha tombat.
FAVOR	Demanar aprovar uns altres pressupostos de la misèria únicament perquè tens por de la patacada que Podemos es trobarà a les eleccions és un error... habitual de la política de poltrones 
FAVOR	Un tertulià unionista admet que el què realment preocupa a Madrit, és ni més ni menys com ens agafem el poble català la sentència del judici ignominiós. Estan ben cagats i seguim tenim la paella pel mànec. Vinga ànims!
FAVOR	Premsa Internacional sobre la manifestació d'ahir: Euronews: “Els catalans reclamen el dret a l'autodeterminació” RTBF (Bèlgica): “Existeix el delicte de rebel·lió?” NY Times: “Les forces independentistes demostren la seva força” RTE (Irlanda): “Judici als independentistes”
FAVOR	Dones fermes compromeses amb els drets civils i polítics. Contra l’ús de la força i a favor del dret a l’autodeterminació. 👉🏼Llegiu el manifest aquí:  
AGAINST	Avui hem reunit la Comissió Executiva de socialistes_cat després de l'anunci de la convocatòria electoral del 28A. Afrontem aquest cicle generals-municipals-europees amb esperança i confiança; convençuts que la feina feta és el camí que ens demana la ciutadania. 
FAVOR	Tal com jo ho veig, la unitat de la llengua i el catalanisme no tenen una relació estreta. Qui defensa que l’espanyol de Madrid i el d’Argentina són el mateix idioma, no busca la unificació política dels dos estats. 
FAVOR	discursounico sóc l'unic que està fisn els collons dels presos i de com estàn condemnant al poble de catalunya?
FAVOR	197 nits sense vosaltres joseprull jorditurull Josep, ahir va ser l’òstia, “com a concepte”, vam denunciar la “ignomínia” de la presó! En definitiva, amic, vam dir ben fort que t’estimem, MOLT, i que ET TROBEM MOLT A FALTAR! “La ginesta com a concepte” UsVolemACasa FreeTothom 
AGAINST	És tan fastigos escoltar les preguntes, repreguntes en aquest FarsaJudici sobre el què del 1O, del 20S.. com si d'un crim és tractés
FAVOR	RT DavidGR1714: Monicamorenocr2 Exacte jo els vaig votar perque intentessin aconseguir la independencia , no per anar a la preso per no f…
AGAINST	vpartal VilaWeb Segur no era del mossos noi, mira que van matar un grapat detinguts a comisaria,al carrer....
FAVOR	Bloquejar el Govern espanyol vol dir perdre un any per forçar noves eleccions. Com hem vist això no ajuda en res a la independència. Simplement anem passant el temps fins que algun dia a Espanya tinguin majoria absoluta i ja no ens necessitin. Cal canviar d'estratègia urgentment.
AGAINST	joanc1999 TomasM_98 cescgalietti AlexCarreraCab2 pscbarcelona psciutatvella jscciutatvella jscbcn Molt bé nois!!! 👏🏼👏🏼🌹
AGAINST	EnricMillo jordi_canyas Desde Catalunya tot el meu suport. Desde Catalunya todo mi soporte. Y pel presiden torrada li dedicó aquesta Foto . Y para el presidente torrada le dedicó esta foto . 
FAVOR	Conseller PuigGordi , això és una infàmia contra els vostres pares i contra tots els que estimem la democràcia i la llibertat. Una abraçada a la família i endavant, sempre endavant. 
FAVOR	Òmnium s'indigna per un vídeo retallat de Jordi Cuixart el 20S que Enric Millo utilitza en un tuit, i li demana que rectifiqui mostrant la seqüència sencera JudiciTV3CatRàdio 
FAVOR	No he oblidat k avui és el Dia internacional de la democràcia. Però a l’Estat espanyol no es pot commemorar res, de democràcia ben poca ... DemocracyDay DemocracyDay2018 
FAVOR	Es reprèn la declaració de Manuel Castellví, excomissari d'informació dels mossos. Segueix-la aquí en directe JudiciTV3CatRàdio TotEsMouTV3 📺tv3cat ▶ 
FAVOR	Els jutges tenen un xat on, per preparar les vistes, vexen independentistes (sempre per sentit d'Estat!). garrotuit 
FAVOR	Amb tota la raó del món. 🗣Seguirem defensant la llibertat d'expressió i la democràcia NoSurrenderCAT La voluntat del poble es guanya i s'exergeix. Som-hi!! 
AGAINST	LauraLopezG ginadrieguez JBeulemans Passa que a les manis ginkana em comporto igual: ni samarretes, ni punts, ni trams, ni res. Hi vaig i crido. La resta em sembla folclore. En aquesta ho veig pitjor pq ens categoritzem i ens classifiquem quan, i ho dic amb el cor, considero que som tots igual.
FAVOR	Contra la violència i la incultura OmplimSantJaume el 29S ! No pots faltar! Deixarem que qui ens va atonyinar l'1O vinguin a celebrar la seva violència? No davant les institucions que ens representen! LlibresLliures
AGAINST	danicardogirona ccoocatalunya Atacats per dos esprais de colors!! Seeeenyu, miri que fan els indepes!!
AGAINST	"📻 Lroldansu ""Sánchez confon Torra i als partits independentistes amb tota Catalunya; el que hauria de fer és escoltar a tots els catalans. No es pot dialogar amb qui diu que s'ha 'd'atacar l'estat' que té com a referència la via eslovena"" radio4_rne "
FAVOR	🔴🔴ATENCIÓ🔴🔴 SanitarisxRep necessita a Professionals mobilitzats i preparats per demà 1O. Qui tingui disponibilitat per demà que envii DM (Missatge Privat): -Titulació -Disponibilitat RT PLEASE
AGAINST	andreuginola Va servir per putejar al PSG, no em sembla una cosa menor
AGAINST	AlbanoDante76 Kaldeu1 Experimentat en què? En “arrimarse al sol que más calienta”, en passar-se per l’arc del triomf la separació de poders, en fer el ridícul amb ballaruques quan no toca??!! Apa, va! És un miserable aprofitat que veu com se li acaba el viure del “cuento”.
AGAINST	Sincerament, pregunteu qui autoritza les manifestacions feixistes a Catalunya. Pregunteu qui és que no fa el que va comprometre's a fer. Si de veritat s'estigués fent la república, el govern no hauria permès cap manifestació ultraespanyolista ni de Xusmapol a Catalunya.
FAVOR	🎗9 persones han passat una nit més entre reixes per haver defensat el mandat sorgit de les urnes. Us reivindiquem cada dia fins a la vostra llibertat!✊🏼 LlibertatPresosPolítics LlibertatPresesPolítiques 
FAVOR	Us presento una mala bèstia mentidera la declaració de qui manté a la presó els nostres representants polítics i socials. 
AGAINST	ramoncotarelo A saber..... Avui per tu, demà per mi. És així de fastigós el sistema. Això si, són tots molt patriotes i mucho españole i apliquen el 155 sense rubor i amb una rapidesa inusual.
NEUTRAL	RT equipviari: ⚠️🚗AP-7 de Cerdanyola a Barberà -&gt;nord per una topada . equipviari
FAVOR	Quin Desastre! Una institució oficial de la república francesa, o sigui el Consell Deparmental dels Pirineus Orientals, penja llaços grocs a la façana de la seva seu! RiveraQuitameEste 
FAVOR	Creen un problema (votem el 28 d'Abril?) per Distreure'ns tot Diferint l'objectiu (la independència) amb Gradualitat ( que se note el efecto sin que se note el cuidado ) apel·lant la por a l'ultradreta (Emocionalitat) Culpabilitzant als que no segueixin l'estrategia.
FAVOR	RT montse_castella: Bona diada a tothom!!! SALUT I REPÚBLICA Diada2018 JoAnirealaDiagonal 11S2018 LlibertatPresosPoliticsiExiliats htt…
AGAINST	Ivan29789636 KnoArbones AlbanoDante76 Marta_Sibina Jajajaja llavors en quina estadística s'ha basat el que diu que cada cop són més els indepes? En les ganes?
FAVOR	La cupnacional reclama la dimissió de MiquelBuch i retreu l'actuació dels Mossos després del «desallotjament» de l'acampada independentista  
AGAINST	RT socialistes_cat: A 💯 dies de les municipals2019 estem preparats per seguir transformant les ciutats i pobles de Catalunya!🌹 
FAVOR	RT AviaIndepe: I si duem tots el llibres forats amb paper groc???? omplimStJaume 29S llibresliures
AGAINST	Aute, un gegant homenatjat amb tendresa per estopaoficial, RogerMasOficial, RossellMarina, amicsdelesarts, mmarbonet, quique_gonzalez... Crònica del concert a l'Auditori del Fòrum. 
FAVOR	RT elnacionalcat: Ekaizer: L'advocat de Forn ha desmuntat el relat de les acusacions JudiciProcés 
AGAINST	Aquest matí hem signat el V Acord Interprofessional de Catalunya, un pacte necessari que dibuixa i perfila el marc de les relacions laborals al nostre país. Gràcies als agents implicats per l’esforç, la voluntat de diàleg i d’acord. 
AGAINST	- Els nens a barracons pels presos. - Tanquem plantes i hospitals pels presos. - No paguem la dependència pels presos. - No pujem l’IRPF a rendes altes pels presos. - No donem els diners adjudicats a la violència masclista pels presos. - No dotem mossos i bombers pels presos.
FAVOR	RT VilaWeb: VÍDEO: Interrompen el president del Constitucional amb pancartes en favor dels presos polítics 
FAVOR	La vicepresidenta rosapujolaitona participa, amb la resta de diputacions, a l’acte de constitució de la Mancomunitat Cultural que presideix la consellera LauraBorras. cultura_cat DiputacioLleida IEI_lleida Dipta_cat diputaciogirona i diba 
NEUTRAL	Marchena accepta Zoido com a testimoni i accepta així la petició de la defensa de quimforn No tenia cap sentit fer venir Rajoy i SSS i no al ministre del ram
AGAINST	He signat la ILPUniversitats per les 10.000 expulsades de les Universitats públiques per culpa de les taxes abusives. I tu? Has signat? Segueix a ILPuniversitats i uneix-te per obligar el Govern a que compleixi amb el que s´ha aprovat al Parlament 
FAVOR	Visites a les entrades de polítics a la Viquipèdia, en anglès. Puigdemont deixa molt enrere la resta, inclòs Pedro Sánchez.  
FAVOR	No, si no volem fabular, volem votar per comprovar-ho: els que hi posen pegues per no saber-ho del cert són vostès. 
FAVOR	3gerardpique EnricMillo Com sempre la mentira del majordom per limitar drets i llibertats... i se’n riu dels presos politics... quina vergonya, quina indignitat i ignominia
AGAINST	Laiesken JordiGraupera Penso que la possibilitat de prohibir la oposició és massa seductora. No em fío del sentit de la responsabilitat dels partits (de cap d'ells). Un exemple: els delictes d'odi. Bona idea amb bona intenció... fins que s'utilitzen per protegir al rei i a la policía de les crítiques.
NEUTRAL	RT sedlr_: iarsuaga mossos Fora feixistes dels nostres barris.
FAVOR	📌 EN DIRECTE ➡️ Manuel Marchena anuncia que la Sala rebutja l'ús del català. ➡️ Resposta de JaumeAlonsoCuev a elmonarac1: Resposta pròpia de principis del segle XX Segueix AQUÍ el que passa al Suprem i a l'antena de RAC1 judiciRAC1 
AGAINST	RT partit_pirata: - Pirates, us presentareu a les eleccions generals del 28A? + Ho estem votant i el dilluns 25 sabrem el resultat. htt…
AGAINST	Catalunya Ràdio..No no...no es jutja la democràcia ...sino uns fets MOLT GREUS .... explica el jutje
FAVOR	RT Tamborras: L'eurodiputat que va convidar Puigdemont i Torra denuncia intimidacions via elnacionalcat 
AGAINST	RT MestreClaramunt: Los jardines de Luxemburgo (Albert Edelfelt, 1887). 
FAVOR	N'estic segura que la policia espanyola (mossos) el 28 al matí ja tindran tancat l'accés a la plaça St.Jaume, i el 29 faran el passadís als seus companys. Si és així, proposo fer una acampada davant del parlament, i no marxar fins que dimiteixi en bloc el govern de Catalunya.
FAVOR	Qui encara dubti que som una colonia , que es pregunti a quin lloc del mon que no sigui una colonia es permetria un homenatge a sadics paramilitars que van colpejar a ciutadans pacifics i desarmats que nomes feien cua per votar ?
FAVOR	QuimTorraiPla KRLS Antonio_Tajani President QuimTorraiPla: La lluita contra l’autoritarisme arriba dins les institucions de la UE. Antonio_Tajani ha impedit els drets de reunió i d’informació. Ha pres una decisió ideológica quan ha de ser el president the tots els europeus, no només de la dreta més radical .
FAVOR	RT elpuntavui: Es reprèn el judici1O amb l'interrogatori a Joaquim Forn judici1o 
FAVOR	🔴 Roger Torrent: No renunciarem mai a la facultat dels ciutadans de Catalunya de decidir sobre el seu futur. Tornarem a votar JudiciTV3CatRadio  
AGAINST	Posem en marxa a la ciutat un projecte que combina la plena integració social de persones amb discapacitat, la millora de la seva ocupabilitat i la recuperació de quioscos actualment en desús. 2 d'aquests quioscos a SantAndreu 
AGAINST	parlamentcat JuntsXCat Esquerra_ERC CatEnComu_Podem cup_parlament CiutadansCs socialistes_cat PPCatalunya Lo de legislar y controlar al Govern... ya tal.
AGAINST	VictorCR1970 IsabelcastroG No el trobo a veure si em passas captura i el blocko
FAVOR	》》 i, quan ja tenen el passadís obert i els agents a dintre, un desgraciat agafa dels cabells a una noia i l'arrossega, mentres ciutadans atemorits li demanen que li deixin treure. Això es lo que demanava l'ordre judicial? Mamporreros 1oct 
FAVOR	RT CDRFarro: Epp‼️Concentració contra el judici a la democràcia 14/2 19:30 Veniu vestits de negre ✊🎗🍁 
NEUTRAL	Duran i Lleida retreu als independentistes seva negativa als pressupostos 
AGAINST	VictorCR1970 paquifer1969 Em parto amb vosaltres formem un bon equip, però sou uns cabrons 🤣😁
FAVOR	elnacionalcat Ets un bocamoll, la Carme té molta més dignitat que tu, ella va fer el que va dir, tu no vas investir el president Puigdemont com vareu dir
AGAINST	La gestió de l'aigua serà 100% pública a Terrassa a partir del 10/12. ajterrassa i Mina hem arribat a un acord molt positiu, que permetrà fer el traspàs del servei a la nova EPEL amb totes les garanties i de la manera més beneficiosa per a la ciutadania 
FAVOR	❗️No et perdis el vídeo amb els millors moments🔝 de BassaAcusa avui al Tribunal Suprem! 🗣️dolorsbassac: “El referéndum no era un delito porque fue destipificado expresamente en 2005” JudiciALaDemocràcia 
AGAINST	'Nou persones entre líders socials i polítics, com el meu pare, són des de fa més de 10 mesos en situació de presó preventiva. El seu delicte: convocar un referèndum' El discurs d’Anna Forn a l'ONU 
FAVOR	RT jordinogueras61: La UE es una puta vergonya, son uns miserables. TajaniPuppetOfFascism 
AGAINST	📻jessicaalbiach: Hem intentat fins a última hora que el Govern es mogués cap als pressupostos socials que necessitem després d'una dècada de retallades. Sembla que el Govern ni governa ni compleix amb els compromisos, per això cal que se sotmetin a una qüestió de confiança. 
NEUTRAL	RT LoXabvi: Convergència, PDeCat, JuntsXCat, Crida.. 
AGAINST	"🏛️malonsocs ""Des de fa 4 dècades Espanya té com a valors principals la llibertat, la justícia i la igualtat. Defensem la Constitució que ens ha donat 40 anys de creixement social i econòmic i que alguns volen derogar"" Parlament "
FAVOR	Sabadell. Caminades per la llibertat via  independencia estatpropi
FAVOR	RT 324cat: Arrimadas anirà a Waterloo, però rebutja l'oferiment de Puigdemont de reunir-se  
FAVOR	M' he perdut veure al majordom... Pel que llegeixo m' he estalviat un atac de mala hòstia de collons! Ha complert amb el seu paper servil mentint si cal, no? AHÀ. JoAcuso JudiciFarsa JudiciALaDemocràcia 
FAVOR	RT castany: ForaXusmapol amb tota la força i la violència no van aturar el referèndum. No ho oblidem mai!
NEUTRAL	RT MariaMoralTeje1: vpartal EstherMarti8 VilaWeb On es comercialitza la roba d’aquesta dona valenta???
AGAINST	Com piular - manual per indepes: 1. Escriviu un tuit; 2. Coloqueu el dit a l'Intro; 3. Refreneu l'impuls de prémer la tecla; 4. Repaseu el codi penal; 5. Verifiqueu que no podreu ser empresonats pel tuit; 6. Modifiqueu, si cal; 7. Premeu Intro i que sigui el que déu vulgui.
FAVOR	🔊 JudiciTV3CatRàdio | xmonge, advocat de Marta Torrecillas: Millo s'hauria de disculpar pel que ha dit al judici 
NEUTRAL	RT gallinermanresa: Tic-tac, tic-tac... Avui a les 9 al Kursaalmanresa vindràs? 
NEUTRAL	Avui es presenta LaCoordiCat, la primera coordinadora pel comerç just i les finances ètiques de Catalunya. Reuneix setemcat Fiare_cat OIaCat alternativa3 banca_etica XES_cat. Benvinguda🆙️! SomLaCoordi SomComerçJust SomFinancesÈtiques 
FAVOR	RT cdrvng: No podran res davant d'un poble unit alegre i combatiu! Enllaçada popular! NoPassaran LlibertatPresosPolítics 
FAVOR	🎥[VÍDEO] sergisabria sobre l’acord en defensa dels diputats🎗 presos i a l'exili: “Tots els diputats mantindran els seus drets. Hem fet un dictamen que diu que la interlocutòria de Llarena és ❌inaplicable. Posarem a votació la seva suspensió i la guanyarem Parlament 
NEUTRAL	🔴 Es reprèn la declaració de Joaquim Forn, responent les preguntes del fiscal Cadena JudiciTV3CatRàdio  
AGAINST	jordiv Ayen_de_3 Igualment tindrà algun lapsus o alguna sortida èpica. In Rajoy we trust!
AGAINST	Savallsblog El Vila la caga. El veritable sentit del tuit és això que li he respost. 
FAVOR	RT rovigar59: Puigdemont i Torra fan avui la conferència conjunta a Brussel·les malgrat la censura de Tajani 
FAVOR	Malgrat la repressió constant d'aquest Estat demofòbic, no ens aturaran. 👉 Perquè som moltes i som més 👉 Perquè vam guanyar i tornarem a guanyar. DecidimSer combatives! TardorCalenta ElPoderDelPoble CDRenxarxa LlibertatPresesPolítiques  
FAVOR	Adéu a la política... no ha hagut rebelió (com ja va determinar el tribunal alemany amb KRLS)... la violència no va sortir dels ciutadans pacífics, que la policia i guardiacivil va apallissar... via tagesschau JudiciALaDemocràcia ThisIsTheRealSpain 
FAVOR	Estic pensant que m'agradaria molt que la república, sigui una república de cultura musical... Crec que per començar, estaria bé, per exemple, prohibir-ne el Reggaeton RT si estàs d'acord !!! HelpMusicInCatalonia 😂😂😂😂💦💦
FAVOR	RT ComptadorRep: Ja sabeu!!! Feu servir l'etiqueta TajaniPuppetOfFascism a les vostres piulades. Merci!! 😎👍
AGAINST	pilarcarracelas El mandat democràtic de l’1 d’octubre se’l passen per l’entrecuixa. Vergonya. 😂😂😂
AGAINST	Tots els que assenyaleu a EnricMillo per dir la veritat ajudeu a destruir la democràcia i la convivència. No pagar milions a Hisenda a part de mentir a tots els conciutadans és delicte i sembla que no et preocupi gaire... 
AGAINST	EnsPlantem ❌ Prou bretxes ❌ Prou violències ❌ Prou desigualtats VAGA LABORAL 8deMarç ✊🏼✊🏼 8MCadaDia DonesCCOOCat 
FAVOR	PunkiBondia L͎a͎ g͎e͎n͎t͎ n͎o͎ s͎'a͎d͎o͎n͎a͎ d͎e͎l͎ p͎o͎d͎e͎r͎ q͎u͎e͎ t͎é campllibertat 29STothomAlCarrer NoPassaran nioblitniperdó 
FAVOR	Fixeu-vos bé que el processisme us vol tenir tot el dia entretinguts i pendents de què diuen i fan els espanyols. Perquè no mireu què no fan els que tenen el mandat de fer la independència. Així és com anem mamant la condició de víctima que ens incapacita per a alliberar-nos 
FAVOR	El President KRLS Puigdemont afirma que sempre hi ha l’opció de la DUI a falta de diàleg  vía elpuntavui JoSocMurallaHumana NoSurrender
AGAINST	Moltes gràcies a tot l’equip per un acte espectacular en temps récord! Sou molt bons jorditurull, Lluisdanes, iGenoves i MolonsAntoni I sobretot gràcies a tots els presos polítcs i exiliats! FreeTothom 
FAVOR	Els que pensen que això de la independència va per llarg, que mirin de no fer plans pels propers vuit o deu mesos. Que no es digui que no vam avisar.
FAVOR	Sala-i-Martin esclata contra la líder de la formació unionista i li recorda que ni ella ni els seus han celebrat mai la Diada i no canten els Segadors al Parlament 
AGAINST	🔴 DIRECTE | MANUEL VALLS (manuelvalls): “El Palau de la Generalitat, l’Ajuntament o les conselleries han de ser neutrals, han de ser de tots” 👉  
FAVOR	No sé quan farem efectiva la República catalana però sí que tinc la convicció que el Regne d’Espanya no superarà la crisi econòmica, política, social i institucional que és a punt de rebentar.
